Equipe;Pontos;Ref;Assistência;Roubo;Block;Faltas;Turnover;Orebote;Fga;Fgm;3pa;3pm;Fta;Ftm;1P;2P;3P;4P;OT1;OT2;OT3;Estilo
"cavaliers";77;"DIA 1.1 Cavaliers-Sixers.xls";24;10;4;15;11;45;91;31;29;5;13;10;18;20;18;21;0;0;0;"BALANCED_DISCIPLINE"
"cavaliers";77;"DIA 4.1 Spurs-Cavaliers.xls";22;10;5;18;16;41;80;28;18;8;16;13;20;18;14;25;0;0;0;"BALANCED_DISCIPLINE"
"cavaliers";87;"DIA 16.4 Hornets-Cavaliers.xls";17;11;9;6;8;63;99;34;33;9;14;10;21;22;20;24;0;0;0;"BALANCED_DISCIPLINE"
"cavaliers";90;"DIA 8.2 Bulls-Cavaliers.xls";29;8;5;13;8;52;101;35;34;8;20;12;22;24;21;23;0;0;0;"BALANCED_DISCIPLINE"
"cavaliers";97;"DIA 12.3 Jazz-Cavaliers.xls";26;6;8;19;9;51;95;37;32;9;24;14;17;28;28;24;0;0;0;"BALANCED_DISCIPLINE"
"cavaliers";97;"DIA 13.4 Cavaliers-Sixers.xls";25;10;6;11;11;44;96;40;29;11;10;6;17;29;19;32;0;0;0;"BALANCED_DISCIPLINE"
"cavaliers";97;"DIA 7.2 Grizzlies-Cavaliers.xls";23;12;5;13;13;47;99;41;30;10;6;5;25;19;36;17;0;0;0;"BALANCED_DISCIPLINE"
"cavaliers";100;"DIA 5.2 Cavaliers-Jazz.xls";28;10;8;14;13;54;93;36;37;14;17;14;28;26;24;22;0;0;0;"BALANCED_DISCIPLINE"
"cavaliers";101;"DIA 2.1 Cavaliers-Heat.xls";26;8;8;13;7;46;89;39;31;12;19;11;28;31;28;14;0;0;0;"BALANCED_DISCIPLINE"
"cavaliers";113;"DIA 10.3 Magic-Cavaliers.xls";32;9;1;13;13;43;96;43;35;14;16;13;24;28;20;41;0;0;0;"BALANCED_DISCIPLINE"
"cavaliers";124;"DIA 14.4 Cavaliers-Raptors.xls";35;10;9;12;11;48;89;48;28;13;20;15;25;42;31;26;0;0;0;"BALANCED_DISCIPLINE"
"celtics";71;"DIA 7.2 Hornets-Celtics.xls";23;7;7;12;19;53;89;27;26;9;11;8;18;23;14;16;0;0;0;"BALANCED_DISCIPLINE"
"celtics";81;"DIA 4.1 Heat-Celtics.xls";17;10;7;14;12;48;89;28;14;4;29;21;22;25;13;21;0;0;0;"BALANCED_DISCIPLINE"
"celtics";88;"DIA 5.2 Celtics-Spurs.xls";29;5;6;17;6;52;95;33;26;9;20;13;20;19;25;24;0;0;0;"BALANCED_DISCIPLINE"
"celtics";95;"DIA 2.1 Grizzlies-Celtics.xls";24;8;6;12;3;46;101;39;13;6;13;11;16;25;26;28;0;0;0;"BALANCED_DISCIPLINE"
"celtics";118;"DIA 3.1 Celtics-Rockets.xls";38;7;8;21;14;56;104;51;19;9;11;7;39;27;23;29;0;0;0;"BALANCED_DISCIPLINE"
"clippers";82;"DIA 15.4 Clippers-Hawks.xls";23;13;8;7;10;46;97;35;18;4;11;8;22;27;14;19;0;0;0;"BALANCED_DISCIPLINE"
"clippers";83;"DIA 16.4 Clippers-Pacers.xls";23;4;6;22;12;56;92;32;32;9;16;10;17;25;21;20;0;0;0;"BALANCED_DISCIPLINE"
"clippers";86;"DIA 14.4 TrailBlazers-Clippers.xls";23;11;12;17;10;45;92;32;26;7;16;15;21;23;27;15;0;0;0;"BALANCED_DISCIPLINE"
"jazz";85;"DIA 11.3 Knicks-Jazz.xls";22;10;6;12;14;47;85;34;22;7;11;10;24;25;22;14;0;0;0;"BALANCED_DISCIPLINE"
"jazz";89;"DIA 9.3 Jazz-Heat.xls";21;11;2;14;13;39;81;34;18;6;20;15;16;24;30;19;0;0;0;"BALANCED_DISCIPLINE"
"jazz";93;"DIA 2.1 Jazz-Nuggets.xls";21;10;3;13;12;63;90;32;22;10;24;19;26;10;30;27;0;0;0;"BALANCED_DISCIPLINE"
"jazz";93;"DIA 3.1 Kings-Jazz.xls";23;8;4;17;14;41;86;37;23;8;15;11;29;19;26;19;0;0;0;"BALANCED_DISCIPLINE"
"jazz";98;"DIA 5.2 Cavaliers-Jazz.xls";28;9;7;14;14;57;98;38;27;8;16;14;30;13;27;28;0;0;0;"BALANCED_DISCIPLINE"
"jazz";98;"DIA 8.2 Thunder-Jazz.xls";24;5;13;12;8;48;81;33;16;4;34;28;23;18;28;29;0;0;0;"BALANCED_DISCIPLINE"
"jazz";113;"DIA 4.1 Jazz-Rockets.xls";33;9;3;13;11;59;104;45;27;13;15;10;43;24;26;20;0;0;0;"BALANCED_DISCIPLINE"
"jazz";116;"DIA 12.3 Jazz-Cavaliers.xls";25;4;7;13;7;54;88;41;25;11;27;23;33;18;32;33;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";84;"DIA 2.1 Thunder-Mavericks.xls";24;9;5;13;10;50;95;32;36;15;7;5;26;15;29;14;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";88;"DIA 7.2 TrailBlazers-Mavericks.xls";24;11;4;15;15;52;89;31;39;13;19;13;24;20;25;19;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";94;"DIA 13.4 Pistons-Mavericks.xls";24;9;6;12;17;54;95;38;34;11;13;7;29;12;24;29;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";101;"DIA 4.1 Raptors-Mavericks.xls";30;7;3;10;6;40;92;40;33;9;18;12;21;27;26;27;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";102;"DIA 3.1 Mavericks-Lakers.xls";28;11;4;16;16;49;84;37;33;12;25;16;29;28;23;22;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";108;"DIA 16.4 Pelicans-Mavericks.xls";30;11;5;15;12;44;96;44;37;14;7;6;21;26;30;31;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";112;"DIA 8.2 Pacers-Mavericks.xls";33;11;6;16;13;50;96;42;41;17;12;11;17;28;30;37;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";113;"DIA 10.3 Hawks-Mavericks.xls";32;7;4;11;11;46;95;42;31;14;20;15;20;35;31;27;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";118;"DIA 11.3 Thunder-Mavericks.xls";33;8;5;14;8;51;94;45;37;21;8;7;34;36;20;28;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";135;"DIA 14.4 Mavericks-Thunder.xls";41;13;5;16;14;47;107;52;41;20;16;11;36;33;35;31;0;0;0;"BALANCED_DISCIPLINE"
"mavericks";135;"DIA 6.2 Clippers-Mavericks.xls";45;13;4;19;11;39;96;51;38;18;18;15;29;33;26;47;0;0;0;"BALANCED_DISCIPLINE"
"nets";79;"DIA 2.1 Nets-Suns.xls";25;11;9;10;13;47;91;33;32;9;4;4;25;23;17;14;0;0;0;"BALANCED_DISCIPLINE"
"nets";92;"DIA 4.1 Nuggets-Nets.xls";22;12;10;10;9;61;103;35;32;7;19;15;18;30;18;26;0;0;0;"BALANCED_DISCIPLINE"
"nets";97;"DIA 9.3 Kings-Nets.xls";25;4;6;13;9;52;95;39;26;7;14;12;19;18;34;26;0;0;0;"BALANCED_DISCIPLINE"
"nets";99;"DIA 12.3 Nets-TrailBlazers.xls";26;12;8;22;13;44;96;38;32;10;17;13;25;25;17;32;0;0;0;"BALANCED_DISCIPLINE"
"nets";104;"DIA 15.4 Nets-Hornets.xls";33;10;5;17;11;49;97;43;26;8;13;10;24;19;30;31;0;0;0;"BALANCED_DISCIPLINE"
"nets";105;"DIA 7.2 Nets-Magic.xls";25;13;7;8;7;45;89;32;24;8;38;33;28;25;30;22;0;0;0;"BALANCED_DISCIPLINE"
"nets";108;"DIA 5.2 Raptors-Nets.xls";30;6;5;18;6;58;105;42;33;9;16;15;35;17;19;37;0;0;0;"BALANCED_DISCIPLINE"
"nets";110;"DIA 13.4 Nets-Nuggets.xls";30;7;10;10;5;52;104;46;31;11;9;7;30;28;28;24;0;0;0;"BALANCED_DISCIPLINE"
"nets";114;"DIA 1.1 Bulls-Nets.xls";31;10;3;22;8;50;97;44;38;14;17;12;28;26;34;26;0;0;0;"BALANCED_DISCIPLINE"
"nets";115;"DIA 11.3 TrailBlazers-Nets.xls";27;15;6;12;10;51;99;42;29;12;27;19;24;26;33;32;0;0;0;"BALANCED_DISCIPLINE"
"nets";121;"DIA 16.4 Thunder-Nets.xls";33;11;4;17;11;47;105;49;33;11;13;12;36;31;34;20;0;0;0;"BALANCED_DISCIPLINE"
"nuggets";82;"DIA 2.1 Jazz-Nuggets.xls";23;7;3;18;13;58;95;31;28;8;14;12;15;29;22;16;0;0;0;"BALANCED_DISCIPLINE"
"nuggets";83;"DIA 3.1 Pistons-Nuggets.xls";19;11;4;13;15;45;80;28;25;9;21;18;16;18;23;26;0;0;0;"BALANCED_DISCIPLINE"
"nuggets";88;"DIA 4.1 Nuggets-Nets.xls";19;6;5;8;12;57;93;33;33;12;12;10;22;18;25;23;0;0;0;"BALANCED_DISCIPLINE"
"nuggets";101;"DIA 8.2 Nuggets-Pistons.xls";31;12;3;9;7;62;101;43;29;7;8;8;30;26;23;22;0;0;0;"BALANCED_DISCIPLINE"
"nuggets";113;"DIA 6.2 Nuggets-Bucks.xls";35;10;3;13;16;54;103;45;27;9;18;14;32;36;29;16;0;0;0;"BALANCED_DISCIPLINE"
